,index,full_name,club,age,league
4401,16605,Noah Awuku,Holstein Kiel,17,German 2. Bundesliga
4402,16606,Ryoma Watanabe,FC Ingolstadt 04,20,German 2. Bundesliga
4403,16630,Dorian Grange,Olympique Lyonnais,21,French Ligue 1
4404,16636,Antony Ranieri,OGC Nice,20,French Ligue 1
4405,16638,Alex Palmer,West Bromwich Albion,20,English Premier League
4406,16642,Bastian Lerch, SSV Jahn Regensburg,21,German 2. Bundesliga
4407,16656,Marcus Wood,Manchester City,19,English Premier League
4408,16670,Pál Dárdai,Hertha BSC Berlin,18,German Bundesliga
4409,16703,Gerzino Nyamsi,Stade Rennais FC,20,French Ligue 1
4410,16704,Kazaiah Sterling,Tottenham Hotspur,18,English Premier League
4411,16715,Mustafa ?nan,Antalyaspor,17,Turkish Süper Lig
4412,16733,Valentino Jovic,SV Sandhausen,19,German 2. Bundesliga
4413,16749,Jan-Ole Sievers,1. FC Kaiserslautern,22,German 2. Bundesliga
4414,16759,Jordan Holmes,Bournemouth,20,English Premier League
4415,16763,Marius Krüger,MSV Duisburg,18,German 2. Bundesliga
4416,16772,Patrick Fritsch,Borussia Dortmund,18,German Bundesliga
4417,16774,Federico Ravaglia,Bologna,17,Italian Serie A
4418,16800,Michael Phillips,Crystal Palace,19,English Premier League
4419,16828,Fatih Gürden,Evkur Yeni Malatyaspor,18,Turkish Süper Lig
4420,16847,Emre Selen,Evkur Yeni Malatyaspor,22,Turkish Süper Lig
4421,16857,Riccardo Piscitelli,Benevento Calcio,23,Italian Serie A
4422,16862,Djamalidine Atoiyi,ES Troyes AC,19,French Ligue 1
4423,16869,Maximilian Thalhammer,FC Ingolstadt 04,19,German 2. Bundesliga
4424,16890,Nicklas Shipnoski,1. FC Kaiserslautern,19,German 2. Bundesliga
4425,16900,Cihan Kahraman,1. FC Union Berlin,18,German 2. Bundesliga
4426,16977,Evan Pierce,West Bromwich Albion,18,English Premier League
4427,16992,Aaron Connolly,Brighton & Hove Albion,17,English Premier League
4428,16999,Dennis Smarsch,Hertha BSC Berlin,18,German Bundesliga
4429,17012,Aaron Wan-Bissaka,Crystal Palace,19,English Premier League
4430,17031,Tunji Akinola,West Ham United,18,English Premier League
4431,17048,Rahis Nabi,Burnley,18,English Premier League
4432,17066,Khius Metz,Burnley,19,English Premier League
4433,17096,Mark Howarth,Burnley,18,English Premier League
