,index,full_name,club,age,league
0,0,C. Ronaldo dos Santos Aveiro,Real Madrid CF,32,Spanish Primera División
1,1,Lionel Messi,FC Barcelona,30,Spanish Primera División
2,2,Neymar da Silva Santos Jr.,Paris Saint-Germain,25,French Ligue 1
3,3,Luis Suárez,FC Barcelona,30,Spanish Primera División
4,4,Manuel Neuer,FC Bayern Munich,31,German Bundesliga
5,5,Robert Lewandowski,FC Bayern Munich,28,German Bundesliga
6,6,David De Gea Quintana,Manchester United,26,English Premier League
7,7,Eden Hazard,Chelsea,26,English Premier League
8,8,Toni Kroos,Real Madrid CF,27,Spanish Primera División
9,9,Gonzalo Higuaín,Juventus,29,Italian Serie A
10,10,Sergio Ramos García,Real Madrid CF,31,Spanish Primera División
11,11,Kevin De Bruyne,Manchester City,26,English Premier League
12,12,Thibaut Courtois,Chelsea,25,English Premier League
13,13,Alexis Sánchez,Arsenal,28,English Premier League
14,14,Luka Modri?,Real Madrid CF,31,Spanish Primera División
15,15,Gareth Bale,Real Madrid CF,27,Spanish Primera División
16,16,Sergio Agüero,Manchester City,29,English Premier League
17,17,Giorgio Chiellini,Juventus,32,Italian Serie A
18,18,Gianluigi Buffon,Juventus,39,Italian Serie A
19,19,Paulo Dybala,Juventus,23,Italian Serie A
20,20,Jan Oblak,Atlético Madrid,24,Spanish Primera División
21,21,Antoine Griezmann,Atlético Madrid,26,Spanish Primera División
22,22,Thiago Alcântara,FC Bayern Munich,26,German Bundesliga
23,23,Pierre-Emerick Aubameyang,Borussia Dortmund,28,German Bundesliga
24,24,Leonardo Bonucci,Milan,30,Italian Serie A
25,25,Jérôme Boateng,FC Bayern Munich,28,German Bundesliga
26,26,Diego Godín,Atlético Madrid,31,Spanish Primera División
27,27,Mats Hummels,FC Bayern Munich,28,German Bundesliga
28,28,Mesut Özil,Arsenal,28,English Premier League
29,29,Hugo Lloris,Tottenham Hotspur,30,English Premier League
30,30,Thiago Emiliano da Silva,Paris Saint-Germain,32,French Ligue 1
31,31,Zlatan Ibrahimovi?,Manchester United,35,English Premier League
32,32,Arjen Robben,FC Bayern Munich,33,German Bundesliga
33,33,N'Golo Kanté,Chelsea,26,English Premier League
34,34,Marco Verratti,Paris Saint-Germain,24,French Ligue 1
35,35,Paul Pogba,Manchester United,24,English Premier League
36,36,Christian Eriksen,Tottenham Hotspur,25,English Premier League
37,37,Arturo Vidal,FC Bayern Munich,30,German Bundesliga
38,38,Edinson Cavani,Paris Saint-Germain,30,French Ligue 1
39,39,Marcelo Vieira da Silva,Real Madrid CF,29,Spanish Primera División
40,40,Marek Hamšík,Napoli,29,Italian Serie A
41,41,Ivan Rakiti?,FC Barcelona,29,Spanish Primera División
42,42,David Josué Jiménez Silva,Manchester City,31,English Premier League
43,43,Samir Handanovi?,Inter,32,Italian Serie A
44,44,Gerard Piqué Bernabeu,FC Barcelona,30,Spanish Primera División
45,45,Andrés Iniesta Luján,FC Barcelona,33,Spanish Primera División
46,46,Harry Kane,Tottenham Hotspur,23,English Premier League
47,47,James Rodríguez,FC Bayern Munich,25,German Bundesliga
48,48,Francisco Román Alarcón Suárez,Real Madrid CF,25,Spanish Primera División
49,49,David Alaba,FC Bayern Munich,25,German Bundesliga
50,50,Romelu Lukaku,Manchester United,24,English Premier League
51,51,Alex Sandro Lobo Silva,Juventus,26,Italian Serie A
52,52,Thomas Müller,FC Bayern Munich,27,German Bundesliga
53,53,Sergio Busquets Burgos,FC Barcelona,28,Spanish Primera División
54,54,Philippe Coutinho Correia,Liverpool,25,English Premier League
55,55,Marco Reus,Borussia Dortmund,28,German Bundesliga
56,56,Toby Alderweireld,Tottenham Hotspur,28,English Premier League
57,57,David Luiz Moreira Marinho,Chelsea,30,English Premier League
58,58,Diego da Silva Costa,Chelsea,28,English Premier League
59,59,Radja Nainggolan,Roma,29,Italian Serie A
60,60,Javier Martínez Aginaga,FC Bayern Munich,28,German Bundesliga
61,61,Dries Mertens,Napoli,30,Italian Serie A
62,62,Sokratis Papastathopoulos,Borussia Dortmund,29,German Bundesliga
63,63,João Miranda de Souza Filho,Inter,32,Italian Serie A
64,64,Karim Benzema,Real Madrid CF,29,Spanish Primera División
65,65,Francesc Fàbregas i Soler,Chelsea,30,English Premier League
66,66,Franck Ribéry,FC Bayern Munich,34,German Bundesliga
67,67,Képler Laveran Lima Ferreira,Be?ikta? JK,34,Turkish Süper Lig
68,68,Petr ?ech,Arsenal,35,English Premier League
69,69,Yannick Carrasco,Atlético Madrid,23,Spanish Primera División
70,70,Raphaël Varane,Real Madrid CF,24,Spanish Primera División
71,71,Álvaro Borja Morata Martín,Chelsea,24,English Premier League
72,72,Carlos Henrique Venancio Casimiro,Real Madrid CF,25,Spanish Primera División
73,73,Lorenzo Insigne,Napoli,26,Italian Serie A
74,74,Jorge Resurrección,Atlético Madrid,25,Spanish Primera División
75,75,Alexandre Lacazette,Arsenal,26,English Premier League
76,76,Keylor Navas,Real Madrid CF,30,Spanish Primera División
77,77,Henrikh Mkhitaryan,Manchester United,28,English Premier League
78,78,Danijel Subaši?,AS Monaco,32,French Ligue 1
79,79,Bernd Leno,Bayer 04 Leverkusen,25,German Bundesliga
80,80,Marc-André ter Stegen,FC Barcelona,25,Spanish Primera División
81,81,Kamil Glik,AS Monaco,29,French Ligue 1
82,82,Jordi Alba Ramos,FC Barcelona,28,Spanish Primera División
83,83,?lkay Gündo?an,Manchester City,26,English Premier League
84,84,César Azpilicueta Tanco,Chelsea,27,English Premier League
85,85,Ángel Di María,Paris Saint-Germain,29,French Ligue 1
86,86,Miralem Pjani?,Juventus,27,Italian Serie A
87,87,Claudio Marchisio,Juventus,31,Italian Serie A
88,88,Jan Vertonghen,Tottenham Hotspur,30,English Premier League
89,89,Blaise Matuidi,Juventus,30,Italian Serie A
90,90,Stéphane Ruffier,AS Saint-Étienne,30,French Ligue 1
91,91,Filipe Luís Kasmirski,Atlético Madrid,31,Spanish Primera División
92,92,Vincent Kompany,Manchester City,31,English Premier League
93,93,Andrea Barzagli,Juventus,36,Italian Serie A
94,94,Eric Bailly,Manchester United,23,English Premier League
95,95,Marco Asensio Willemsen,Real Madrid CF,21,Spanish Primera División
96,96,Bernardo Mota Carvalho e Silva,Manchester City,22,English Premier League
97,97,Aymeric Laporte,Athletic Club de Bilbao,23,Spanish Primera División
98,98,Dele Alli,Tottenham Hotspur,21,English Premier League
99,99,Sadio Mané,Liverpool,25,English Premier League
100,100,Daniel Carvajal Ramos,Real Madrid CF,25,Spanish Primera División
101,101,Julian Draxler,Paris Saint-Germain,23,French Ligue 1
102,102,Mauro Icardi,Inter,24,Italian Serie A
103,103,Kalidou Koulibaly,Napoli,26,Italian Serie A
104,104,Timo Horn,1. FC Köln,24,German Bundesliga
105,105,Kostas Manolas,Roma,26,Italian Serie A
106,106,Shkodran Mustafi,Arsenal,25,English Premier League
107,107,Ander Herrera Agüera,Manchester United,27,English Premier League
108,108,Nemanja Mati?,Manchester United,28,English Premier League
109,109,Kevin Strootman,Roma,27,Italian Serie A
110,110,Pedro Rodríguez Ledesma,Chelsea,29,English Premier League
111,111,Roman Bürki,Borussia Dortmund,26,German Bundesliga
112,112,Bruno Soriano Llido,Villarreal CF,33,Spanish Primera División
113,113,Ivan Periši?,Inter,28,Italian Serie A
114,114,Edin Džeko,Roma,31,Italian Serie A
115,115,Willian Borges da Silva,Chelsea,28,English Premier League
116,116,Sami Khedira,Juventus,30,Italian Serie A
117,117,Ralf Fährmann,FC Schalke 04,28,German Bundesliga
118,118,Sergio Asenjo Andrés,Villarreal CF,28,Spanish Primera División
119,119,Juan Manuel Mata García,Manchester United,29,English Premier League
120,120,Medhi Benatia,Juventus,30,Italian Serie A
121,121,Radamel Falcao García Zarate,AS Monaco,31,French Ligue 1
122,122,Laurent Koscielny,Arsenal,31,English Premier League
123,123,Gary Cahill,Chelsea,31,English Premier League
124,124,Daniel Alves da Silva,Paris Saint-Germain,34,French Ligue 1
125,125,Alejandro Gómez,Atalanta,29,Italian Serie A
126,126,Aritz Aduriz Zubeldia,Athletic Club de Bilbao,36,Spanish Primera División
127,127,Kylian Mbappé,Paris Saint-Germain,18,French Ligue 1
128,128,Ousmane Dembélé,FC Barcelona,20,Spanish Primera División
129,129,Naby Keïta,RB Leipzig,22,German Bundesliga
130,130,José María Giménez,Atlético Madrid,22,Spanish Primera División
131,131,Gerónimo Rulli,Real Sociedad,25,Spanish Primera División
132,132,Thomas Lemar,AS Monaco,21,French Ligue 1
133,133,João Mário Naval Costa Eduardo,Inter,24,Italian Serie A
134,134,Niklas Süle,FC Bayern Munich,21,German Bundesliga
135,135,Ederson Santana de Moraes,Manchester City,23,English Premier League
136,136,Leon Goretzka,FC Schalke 04,22,German Bundesliga
137,137,Fábio Henrique Tavares,AS Monaco,23,French Ligue 1
138,138,Mohamed Salah,Liverpool,25,English Premier League
139,139,Andrea Belotti,Torino,23,Italian Serie A
140,140,Emil Forsberg,RB Leipzig,25,German Bundesliga
141,141,Marcos Aoas Corrêa,Paris Saint-Germain,23,French Ligue 1
142,142,William Silva de Carvalho,Sporting CP,25,Portuguese Primeira Liga
143,143,Samuel Umtiti,FC Barcelona,23,Spanish Primera División
144,144,Riyad Mahrez,Leicester City,26,English Premier League
145,145,Virgil van Dijk,Southampton,25,English Premier League
146,146,Roberto Firmino Barbosa de Oliveira,Liverpool,25,English Premier League
147,147,Danilo Luís Hélio Pereira,FC Porto,25,Portuguese Primeira Liga
148,148,Víctor Machín Pérez,UD Las Palmas,27,Spanish Primera División
149,149,Anthony Lopes,Olympique Lyonnais,26,French Ligue 1
150,150,Stefan de Vrij,Lazio,25,Italian Serie A
151,151,Mattia Perin,Genoa,24,Italian Serie A
152,152,Joel Matip,Liverpool,25,English Premier League
153,153,Idrissa Gueye,Everton,27,English Premier League
154,154,Iago Aspas Juncal,RC Celta de Vigo,29,Spanish Primera División
155,155,Ciro Immobile,Lazio,27,Italian Serie A
156,156,Nicolás Otamendi,Manchester City,29,English Premier League
157,157,Javier Pastore,Paris Saint-Germain,28,French Ligue 1
158,158,Daniel Parejo Muñoz,Valencia CF,28,Spanish Primera División
159,159,Shinji Kagawa,Borussia Dortmund,28,German Bundesliga
160,160,Giacomo Bonaventura,Milan,27,Italian Serie A
161,161,Bas Dost,Sporting CP,28,Portuguese Primeira Liga
162,162,Kyle Walker,Manchester City,27,English Premier League
163,164,Steven N'Zonzi,Sevilla FC,28,Spanish Primera División
164,165,Mateo Musacchio,Milan,26,Italian Serie A
165,166,Ömer Toprak,Borussia Dortmund,27,German Bundesliga
166,167,José María Callejón Bueno,Napoli,30,Italian Serie A
167,170,Nicolás Gaitán,Atlético Madrid,29,Spanish Primera División
168,171,Mario Mandžuki?,Juventus,31,Italian Serie A
169,172,Adam Lallana,Liverpool,29,English Premier League
170,173,Benedikt Höwedes,Juventus,29,Italian Serie A
171,174,Éver Banega,Sevilla FC,29,Spanish Primera División
172,175,Rui Pedro dos Santos Patrício,Sporting CP,29,Portuguese Primeira Liga
173,176,Yann Sommer,Borussia Mönchengladbach,28,German Bundesliga
174,177,Dimitri Payet,Olympique de Marseille,30,French Ligue 1
175,178,Morgan Schneiderlin,Everton,27,English Premier League
176,179,Jonas Gonçalves Oliveira,SL Benfica,33,Portuguese Primeira Liga
177,180,?ukasz Piszczek,Borussia Dortmund,32,German Bundesliga
178,181,Ezequiel Garay,Valencia CF,30,Spanish Primera División
179,182,Antonio Valencia,Manchester United,31,English Premier League
180,183,Kasper Schmeichel,Leicester City,30,English Premier League
181,184,Moussa Dembélé,Tottenham Hotspur,29,English Premier League
182,185,Borja Valero Iglesias,Inter,32,Italian Serie A
183,186,Loïc Perrin,AS Saint-Étienne,31,French Ligue 1
184,187,Lucas Biglia,Milan,31,Italian Serie A
185,188,Diego López Rodríguez,RCD Espanyol,35,Spanish Primera División
186,189,Santiago Cazorla González,Arsenal,32,English Premier League
187,190,Javier Mascherano,FC Barcelona,33,Spanish Primera División
188,191,Wesley Sneijder,OGC Nice,33,French Ligue 1
189,192,Luís Carlos Almeida da Cunha,Lazio,30,Italian Serie A
190,193,Daniele De Rossi,Roma,33,Italian Serie A
191,194,José Manuel Reina Páez,Napoli,34,Italian Serie A
192,195,Ricardo Andrade Quaresma Bernardo,Be?ikta? JK,33,Turkish Süper Lig
193,196,Yaya Touré,Manchester City,34,English Premier League
194,197,Iker Casillas Fernández,FC Porto,36,Portuguese Primeira Liga
195,198,Gianluigi Donnarumma,Milan,18,Italian Serie A
196,199,Leroy Sané,Manchester City,21,English Premier League
197,200,Tiémoué Bakayoko,Chelsea,22,English Premier League
198,201,Corentin Tolisso,FC Bayern Munich,22,German Bundesliga
199,202,Nabil Fekir,Olympique Lyonnais,23,French Ligue 1
200,203,Jean Michaël Seri,OGC Nice,25,French Ligue 1
201,204,Keita Baldé Diao,AS Monaco,22,French Ligue 1
202,205,Jonathan Tah,Bayer 04 Leverkusen,21,German Bundesliga
203,206,Federico Bernardeschi,Juventus,23,Italian Serie A
204,207,Timo Werner,RB Leipzig,21,German Bundesliga
205,208,André Filipe Tavares Gomes,FC Barcelona,23,Spanish Primera División
206,209,Anthony Martial,Manchester United,21,English Premier League
207,211,Lucas Vázquez Iglesias,Real Madrid CF,26,Spanish Primera División
208,212,Saúl Ñíguez Esclápez,Atlético Madrid,22,Spanish Primera División
209,213,Felipe Augusto de Almeida Monteiro,FC Porto,28,Portuguese Primeira Liga
210,214,Carlos Bacca,Villarreal CF,30,Spanish Primera División
211,215,Franco Vázquez,Sevilla FC,28,Spanish Primera División
212,216,Mateo Kova?i?,Real Madrid CF,23,Spanish Primera División
213,217,Sergio Rico González,Sevilla FC,23,Spanish Primera División
214,218,Manuel Trigueros Muñoz,Villarreal CF,25,Spanish Primera División
215,219,Antonio Rüdiger,Chelsea,24,English Premier League
216,220,Florian Thauvin,Olympique de Marseille,24,French Ligue 1
217,221,Stefan Savi?,Atlético Madrid,26,Spanish Primera División
218,222,Iñigo Martínez Berridi,Real Sociedad,26,Spanish Primera División
219,223,Roque Mesa Quevedo,Swansea City,28,English Premier League
220,224,Alessandro Florenzi,Roma,26,Italian Serie A
221,225,Davy Klaassen,Everton,24,English Premier League
222,226,Karim Bellarabi,Bayer 04 Leverkusen,27,German Bundesliga
223,227,Raheem Sterling,Manchester City,22,English Premier League
224,228,Jesús Joaquín Fernández Sáez,Milan,23,Italian Serie A
225,229,Gerard Deulofeu Lázaro,FC Barcelona,23,Spanish Primera División
226,230,Eric Dier,Tottenham Hotspur,23,English Premier League
227,231,Marcos Rojo,Manchester United,27,English Premier League
228,232,Lucas Rodrigues M. Silva,Paris Saint-Germain,24,French Ligue 1
229,233,Heung Min Son,Tottenham Hotspur,24,English Premier League
230,234,Francesco Acerbi,Sassuolo,29,Italian Serie A
231,235,Granit Xhaka,Arsenal,24,English Premier League
232,236,Jonathan Viera Ramos,UD Las Palmas,27,Spanish Primera División
233,237,Luis Miguel Afonso Fernandes,SL Benfica,27,Portuguese Primeira Liga
234,238,Willian José da Silva,Real Sociedad,25,Spanish Primera División
235,239,Andriy Yarmolenko,Borussia Dortmund,27,German Bundesliga
236,240,Oliver Baumann,TSG 1899 Hoffenheim,27,German Bundesliga
237,241,Gary Medel,Be?ikta? JK,29,Turkish Süper Lig
238,242,Víctor Ruíz Torre,Villarreal CF,28,Spanish Primera División
239,243,Xherdan Shaqiri,Stoke City,25,English Premier League
240,244,Juan Cuadrado,Juventus,29,Italian Serie A
241,245,Douglas Costa de Souza,Juventus,26,Italian Serie A
242,246,Nathaniel Clyne,Liverpool,26,English Premier League
243,247,Vicente Iborra de la Fuente,Leicester City,29,English Premier League
244,248,Victor Wanyama,Tottenham Hotspur,26,English Premier League
245,251,Lars Stindl,Borussia Mönchengladbach,28,German Bundesliga
246,252,Mario Balotelli,OGC Nice,26,French Ligue 1
247,253,Aaron Ramsey,Arsenal,26,English Premier League
248,254,Wojciech Szcz?sny,Juventus,27,Italian Serie A
249,255,Gylfi Sigurðsson,Everton,27,English Premier League
250,256,Yacine Brahimi,FC Porto,27,Portuguese Primeira Liga
251,257,Marko Arnautovi?,West Ham United,28,English Premier League
252,258,Jordan Henderson,Liverpool,27,English Premier League
253,259,Max Kruse,SV Werder Bremen,29,German Bundesliga
254,260,Orestis Karnezis,Watford,31,English Premier League
255,261,Ljubomir Fejsa,SL Benfica,28,Portuguese Primeira Liga
256,262,Fernando Muslera,Galatasaray SK,31,Turkish Süper Lig
257,264,Georginio Wijnaldum,Liverpool,26,English Premier League
258,265,Federico Fazio,Roma,30,Italian Serie A
259,266,Olivier Giroud,Arsenal,30,English Premier League
260,268,Javier Hernández,West Ham United,29,English Premier League
261,269,Beñat Etxebarria Urkiaga,Athletic Club de Bilbao,30,Spanish Primera División
262,270,Lars Bender,Bayer 04 Leverkusen,28,German Bundesliga
263,272,Kévin Gameiro,Atlético Madrid,30,Spanish Primera División
264,273,Claudio Bravo,Manchester City,34,English Premier League
265,274,Asmir Begovi?,Bournemouth,30,English Premier League
266,275,Ronaldo Aparecido Rodrigues,FC Schalke 04,34,German Bundesliga
267,276,Daniel Sturridge,Liverpool,27,English Premier League
268,277,Danny Rose,Tottenham Hotspur,26,English Premier League
269,278,Carlos Vela,Real Sociedad,28,Spanish Primera División
270,279,Emiliano Viviano,Sampdoria,31,Italian Serie A
271,280,Gonzalo Castro,Borussia Dortmund,30,German Bundesliga
272,281,Samir Nasri,Antalyaspor,30,Turkish Süper Lig
273,282,Ashley Williams,Everton,32,English Premier League
274,283,Leighton Baines,Everton,32,English Premier League
275,284,Andrea Consigli,Sassuolo,30,Italian Serie A
276,285,João Filipe Moutinho,AS Monaco,30,French Ligue 1
277,286,Benoît Costil,Girondins de Bordeaux,29,French Ligue 1
278,287,Raúl Albiol Tortajada,Napoli,31,Italian Serie A
279,288,Joe Hart,West Ham United,30,English Premier League
280,289,Mario Gómez,VfL Wolfsburg,31,German Bundesliga
281,290,Juan Francisco Torres Belén,Atlético Madrid,32,Spanish Primera División
282,291,Raffael Caetano de Araújo,Borussia Mönchengladbach,32,German Bundesliga
283,292,Arda Turan,FC Barcelona,30,Spanish Primera División
284,293,Fernando Luiz Rosa,Manchester City,32,English Premier League
285,295,Stephan Lichtsteiner,Juventus,33,Italian Serie A
286,296,Rune Almenning Jarstein,Hertha BSC Berlin,32,German Bundesliga
287,297,Marcus Rashford,Manchester United,19,English Premier League
288,298,Gabriel Fernando de Jesus,Manchester City,20,English Premier League
289,299,Nélson Cabral Semedo,FC Barcelona,23,Spanish Primera División
290,300,Gelson Dany Batalha Martins,Sporting CP,22,Portuguese Primeira Liga
291,301,Malcom Filipe Silva de Oliveira,Girondins de Bordeaux,20,French Ligue 1
292,302,Julian Weigl,Borussia Dortmund,21,German Bundesliga
293,303,Davinson Sánchez,Tottenham Hotspur,21,English Premier League
294,304,Islam Slimani,Leicester City,29,English Premier League
295,305,Andrej Kramari?,TSG 1899 Hoffenheim,26,German Bundesliga
296,306,Marcelo Brozovi?,Inter,24,Italian Serie A
297,307,Iñaki Williams Arthuer,Athletic Club de Bilbao,23,Spanish Primera División
298,308,Daniel Garcia Carrillo,SD Eibar,27,Spanish Primera División
299,309,Andreas Christensen,Chelsea,21,English Premier League
300,310,Joshua Kimmich,FC Bayern Munich,22,German Bundesliga
301,311,Armindo Tué Na Bangna,RB Leipzig,22,German Bundesliga
302,312,Domenico Berardi,Sassuolo,22,Italian Serie A
303,313,Adrien Rabiot,Paris Saint-Germain,22,French Ligue 1
304,314,Raphaël Guerreiro,Borussia Dortmund,23,German Bundesliga
305,315,Jamie Vardy,Leicester City,30,English Premier League
306,317,Michael Keane,Everton,24,English Premier League
307,318,Luiz Frello Filho Jorge,Napoli,25,Italian Serie A
308,319,Héctor Bellerín Moruno,Arsenal,22,English Premier League
309,320,Jack Butland,Stoke City,24,English Premier League
310,321,Simone Zaza,Valencia CF,26,Spanish Primera División
311,322,Thomas Meunier,Paris Saint-Germain,25,French Ligue 1
312,323,Felipe Anderson Pereira Gomes,Lazio,24,Italian Serie A
313,324,Rafael Alcântara,FC Barcelona,24,Spanish Primera División
314,325,José Ignacio Fernández Iglesias,Real Madrid CF,27,Spanish Primera División
315,326,Jasper Cillessen,FC Barcelona,28,Spanish Primera División
316,327,Sergio Roberto Carnicer,FC Barcelona,25,Spanish Primera División
317,328,Wissam Ben Yedder,Sevilla FC,26,Spanish Primera División
318,329,Lucas Pérez Martínez,RC Deportivo de La Coruña,28,Spanish Primera División
319,330,Ross Barkley,Everton,23,English Premier League
320,331,Cédric Bakambu,Villarreal CF,26,Spanish Primera División
321,332,Wilfried Zaha,Crystal Palace,24,English Premier League
322,333,Marc Bartra Aregall,Borussia Dortmund,26,German Bundesliga
323,334,Serge Aurier,Tottenham Hotspur,24,English Premier League
324,335,Sebastián Coates,Sporting CP,26,Portuguese Primeira Liga
325,336,Grzegorz Krychowiak,West Bromwich Albion,27,English Premier League
326,337,Kevin Kampl,RB Leipzig,26,German Bundesliga
327,338,Dejan Lovren,Liverpool,27,English Premier League
328,339,Younès Belhanda,Galatasaray SK,27,Turkish Süper Lig
329,341,Ricardo Rodríguez,Milan,24,Italian Serie A
330,342,Jesús Corona,FC Porto,24,Portuguese Primeira Liga
331,343,Mario Gaspar Pérez Martínez,Villarreal CF,26,Spanish Primera División
332,344,Marcos Alonso Mendoza,Chelsea,26,English Premier League
333,345,Mario Götze,Borussia Dortmund,25,German Bundesliga
334,346,Lukáš Hrádecký,Eintracht Frankfurt,27,German Bundesliga
335,347,Asier Illarramendi,Real Sociedad,27,Spanish Primera División
336,348,Oscar De Marcos Arana,Athletic Club de Bilbao,28,Spanish Primera División
337,349,Chris Smalling,Manchester United,27,English Premier League
338,350,Jack Wilshere,Arsenal,25,English Premier League
339,351,Sebastian Rudy,FC Bayern Munich,27,German Bundesliga
340,352,Manuel Lanzini,West Ham United,24,English Premier League
341,353,Kevin Trapp,Paris Saint-Germain,26,French Ligue 1
342,354,Ryad Boudebouz,Real Betis Balompié,27,Spanish Primera División
343,355,Ignacio Camacho Barnola,VfL Wolfsburg,27,German Bundesliga
344,356,José Paulo Bezerra M. Júnior,FC Barcelona,28,Spanish Primera División
345,357,Nikola Kalini?,Milan,29,Italian Serie A
346,358,Giuliano Victor de Paula,Fenerbahçe SK,27,Turkish Süper Lig
347,359,Diego Perotti,Roma,28,Italian Serie A
348,360,Marco Parolo,Lazio,32,Italian Serie A
349,361,Konstantinos Mitroglou,Olympique de Marseille,29,French Ligue 1
350,362,Mamadou Sakho,Crystal Palace,27,English Premier League
351,363,Adil Rami,Olympique de Marseille,31,French Ligue 1
352,364,Stevan Joveti?,AS Monaco,27,French Ligue 1
353,365,Séamus Coleman,Everton,28,English Premier League
354,366,Simon Kjær,Sevilla FC,28,Spanish Primera División
355,367,Antonio Adán Garrido,Real Betis Balompié,30,Spanish Primera División
356,368,Mathieu Valbuena,Fenerbahçe SK,32,Turkish Süper Lig
357,369,Simon Mignolet,Liverpool,29,English Premier League
358,370,Davide Astori,Fiorentina,30,Italian Serie A
359,371,Kevin Mirallas,Everton,29,English Premier League
360,372,Andrés Guardado,Real Betis Balompié,30,Spanish Primera División
361,373,Raúl García Escudero,Athletic Club de Bilbao,30,Spanish Primera División
362,374,Martin Škrtel,Fenerbahçe SK,32,Turkish Süper Lig
363,375,Steve Mandanda,Olympique de Marseille,32,French Ligue 1
364,376,Tom Heaton,Burnley,31,English Premier League
365,377,Hatem Ben Arfa,Paris Saint-Germain,30,French Ligue 1
366,378,Dante Bonfim Costa Santos,OGC Nice,33,French Ligue 1
367,380,Gabriel Fernández Arenas,Atlético Madrid,33,Spanish Primera División
368,384,Cédric Carrasso,Galatasaray SK,35,Turkish Süper Lig
369,385,Miguel Ángel Moyá Rumbo,Atlético Madrid,33,Spanish Primera División
370,386,Wayne Rooney,Everton,31,English Premier League
371,387,Per Mertesacker,Arsenal,32,English Premier League
372,388,Thiago Motta,Paris Saint-Germain,34,French Ligue 1
373,389,Fernando José Torres Sanz,Atlético Madrid,33,Spanish Primera División
374,390,Samuel Eto'o,Antalyaspor,36,Turkish Süper Lig
375,391,Sergej Milinkovi?-Savi?,Lazio,22,Italian Serie A
376,392,Youri Tielemans,AS Monaco,20,French Ligue 1
377,393,Jemerson de Jesus Nascimento,AS Monaco,24,French Ligue 1
378,394,Ángel Correa,Atlético Madrid,22,Spanish Primera División
379,395,Nabil Bentaleb,FC Schalke 04,22,German Bundesliga
380,396,Alisson Ramses Becker,Roma,24,Italian Serie A
381,397,Alex Nicolao Telles,FC Porto,24,Portuguese Primeira Liga
382,398,Julian Brandt,Bayer 04 Leverkusen,21,German Bundesliga
383,399,Kerem Demirbay,TSG 1899 Hoffenheim,23,German Bundesliga
384,400,Daniele Rugani,Juventus,22,Italian Serie A
385,401,Morgan Sanson,Olympique de Marseille,22,French Ligue 1
386,402,Samuel Castillejo Azuaga,Villarreal CF,22,Spanish Primera División
387,403,Piotr Zieli?ski,Napoli,23,Italian Serie A
388,404,Ricardo D. Barbosa Pereira,FC Porto,23,Portuguese Primeira Liga
389,405,Alejandro Grimaldo García,SL Benfica,21,Portuguese Primeira Liga
390,407,Jonas Hector,1. FC Köln,27,German Bundesliga
391,408,Emre Can,Liverpool,23,English Premier League
392,409,Gerard Moreno Balagueró,RCD Espanyol,25,Spanish Primera División
393,410,Sead Kolašinac,Arsenal,24,English Premier League
394,412,Kepa Arrizabalaga,Athletic Club de Bilbao,22,Spanish Primera División
395,413,Alassane Pléa,OGC Nice,24,French Ligue 1
396,416,Leonardo Carrilho Baptistão,RCD Espanyol,24,Spanish Primera División
397,417,Matija Nastasi?,FC Schalke 04,24,German Bundesliga
398,418,Denis Suárez Fernández,FC Barcelona,23,Spanish Primera División
399,419,Michy Batshuayi,Chelsea,23,English Premier League
400,420,John Brooks,VfL Wolfsburg,24,German Bundesliga
401,421,Šime Vrsaljko,Atlético Madrid,25,Spanish Primera División
402,423,Loris Karius,Liverpool,24,English Premier League
403,424,Thorgan Hazard,Borussia Mönchengladbach,24,German Bundesliga
404,425,Valère Germain,Olympique de Marseille,27,French Ligue 1
405,426,Layvin Kurzawa,Paris Saint-Germain,24,French Ligue 1
406,427,Faouzi Ghoulam,Napoli,26,Italian Serie A
407,428,Josip Ili?i?,Atalanta,29,Italian Serie A
408,429,Kevin Volland,Bayer 04 Leverkusen,24,German Bundesliga
409,430,Allan Marques Loureiro,Napoli,26,Italian Serie A
410,431,Pablo Hernández,RC Celta de Vigo,30,Spanish Primera División
411,432,Dušan Tadi?,Southampton,28,English Premier League
412,433,Luis Muriel,Sevilla FC,26,Spanish Primera División
413,434,Pablo Sarabia García,Sevilla FC,25,Spanish Primera División
414,435,Alex Oxlade-Chamberlain,Liverpool,23,English Premier League
415,436,Josuha Guilavogui,VfL Wolfsburg,26,German Bundesliga
416,437,O?uzhan Özyakup,Be?ikta? JK,24,Turkish Süper Lig
417,439,Phil Jones,Manchester United,25,English Premier League
418,440,Sergi Enrich Ametller,SD Eibar,27,Spanish Primera División
419,441,Norberto Murara Neto,Valencia CF,27,Spanish Primera División
420,442,Hugo Mallo Novegil,RC Celta de Vigo,26,Spanish Primera División
421,443,Daniel Didavi,VfL Wolfsburg,27,German Bundesliga
422,444,Roberto Soriano,Villarreal CF,26,Spanish Primera División
423,445,André Schürrle,Borussia Dortmund,26,German Bundesliga
424,446,Maxime Gonalons,Roma,28,Italian Serie A
425,447,Alphonse Areola,Paris Saint-Germain,24,French Ligue 1
426,448,Roberto Pereyra,Watford,26,English Premier League
427,449,Kevin Vogt,TSG 1899 Hoffenheim,25,German Bundesliga
428,450,Fabián Orellana,Valencia CF,31,Spanish Primera División
429,452,Maicon Pereira Roque,Galatasaray SK,28,Turkish Süper Lig
